Table ID,Line,UniqueID,Variable_Family,Universe,Variable_Concept,Variable_Name,Variable_Type,Variable_Min,Variable_Max,Variable_Count_Blanks,Vasriable_Mean,Variable_Median,Measurement_of_error,MOE_Min,MOE_Max,"MOE_Count_Blanks
",MOE_Mean,MOE_Median,
K202502,2,K202502_002,Housing Tenure,Occupied housing units,Owner occupied,K202502_002E,string,0,1102002,0,16691.14131,9356,K202502_002M,180,14298,0,1472.032097,1272,
K202502,3,K202502_003,Housing Tenure,Occupied housing units,Renter occupied,K202502_003E,string,100,2271037,0,13090.64402,5323,K202502_003M,104,17222,0,1398.809504,1188,
K202503,1,K202503_001,Total Population in Occupied Housing Units by Tenure,Total population in occupied housing units,Total:,K202503_001E,string,7284,8130564,0,74295.64277,36764,K202503_001M,-555555555,15993,0,-229812.709,301,
K202503,2,K202503_002,Total Population in Occupied Housing Units by Tenure,Total population in occupied housing units,Owner occupied,K202503_002E,string,0,2947406,0,44489.82951,25222,K202503_002M,218,41151,0,3954.807837,3406,
K202503,3,K202503_003,Total Population in Occupied Housing Units by Tenure,Total population in occupied housing units,Renter occupied,K202503_003E,string,263,5183158,0,29805.81326,12331,K202503_003M,272,41763,0,3620.796165,3073,
K202504,1,K202504_001,Units in Structure,Housing units,Total:,K202504_001E,string,4320,3679063,455,37287.98508,18102.5,K202504_001M,18,9981,455,1664.898148,1502,
K202504,2,K202504_002,Units in Structure,Housing units,"1, detached and attached",K202504_002E,string,201,648622,455,21753.8035,11954.5,K202504_002M,211,11202,455,1573.92644,1343.5,
K202504,3,K202504_003,Units in Structure,Housing units,2,K202504_003E,string,0,448188,455,1663.126029,529.5,K202504_003M,33,11870,455,541.5236626,419,
K202504,4,K202504_004,Units in Structure,Housing units,3 or 4,K202504_004E,string,0,332899,455,2233.477881,916.5,K202504_004M,40,11383,455,694.5668724,576.5,
K202504,5,K202504_005,Units in Structure,Housing units,5 to 9,K202504_005E,string,0,246495,455,2365.436728,996,K202504_005M,31,10326,455,734.7078189,603,
K202504,6,K202504_006,Units in Structure,Housing units,10 or more,K202504_006E,string,0,2046385,455,8496.079733,2775,K202504_006M,24,15034,455,1150.896091,918.5,
K202504,7,K202504_007,Units in Structure,Housing units,"Mobile home, boat, RV, van, etc.",K202504_007E,string,0,28857,455,776.061214,334.5,K202504_007M,20,2880,455,402.215535,286,
K202505,1,K202505_001,Year Structure Built,Housing units,Total:,K202505_001E,string,4320,3679063,93,33205.69731,15869,K202505_001M,18,9981,93,1609.256288,1445.5,
K202505,2,K202505_002,Year Structure Built,Housing units,Built 2020 or later,K202505_002E,string,0,23427,93,584.1058109,195.5,K202505_002M,33,3866,93,361.1760624,231.5,
K202505,3,K202505_003,Year Structure Built,Housing units,Built 2000 to 2019,K202505_003E,string,0,440081,93,7605.384649,3390.5,K202505_003M,62,11975,93,1136.305291,955,
K202505,4,K202505_004,Year Structure Built,Housing units,Built 1980 to 1999,K202505_004E,string,125,311123,93,7522.735906,3779,K202505_004M,127,10886,93,1191.592368,1006.5,
K202505,5,K202505_005,Year Structure Built,Housing units,Built 1960 to 1979,K202505_005E,string,34,687976,93,8076.579358,4118.5,K202505_005M,68,15652,93,1203.732437,1043,
K202505,6,K202505_006,Year Structure Built,Housing units,Built 1940 to 1959,K202505_006E,string,0,830788,93,5136.44536,2106,K202505_006M,39,17515,93,875.4028621,742,
K202505,7,K202505_007,Year Structure Built,Housing units,Built 1939 or earlier,K202505_007E,string,0,1385668,93,4280.446227,671.5,K202505_007M,11,19799,93,652.7515178,442,
K202506,1,K202506_001,Year Householder Moved Into Unit,Occupied housing units,Total:,K202506_001E,string,3841,3373039,7,29843.97701,14484,K202506_001M,530,12815,7,1560.492475,1379.5,
K202506,2,K202506_002,Year Householder Moved Into Unit,Occupied housing units,Moved in 2020 or later,K202506_002E,string,198,809181,7,9204.545987,4110,K202506_002M,171,14084,7,1339.127926,1131,
K202506,3,K202506_003,Year Householder Moved Into Unit,Occupied housing units,Moved in 2010 to 2019,K202506_003E,string,890,1221256,7,11494.88043,5722.5,K202506_003M,426,17142,7,1418.413043,1192.5,
K202506,4,K202506_004,Year Householder Moved Into Unit,Occupied housing units,Moved in 2000 to 2009,K202506_004E,string,176,579440,7,4376.779682,2279,K202506_004M,122,14859,7,925.3670569,792,
K202506,5,K202506_005,Year Householder Moved Into Unit,Occupied housing units,Moved in 1990 to 1999,K202506_005E,string,0,369588,7,2425.498746,1303.5,K202506_005M,44,13389,7,653.3925585,566,
K202506,6,K202506_006,Year Householder Moved Into Unit,Occupied housing units,Moved in 1989 or earlier,K202506_006E,string,0,393574,7,2342.272157,1168.5,K202506_006M,48,9090,7,592.7763378,516,
K202507,1,K202507_001,Gross Rent,Renter-occupied housing units,Total:,K202507_001E,string,895,2271037,821,18233.24778,7885.5,K202507_001M,344,17222,821,1624.116603,1364.5,
K202507,2,K202507_002,Gross Rent,Renter-occupied housing units,With cash rent:,K202507_002E,string,745,2208881,821,17656.23194,7636.5,K202507_002M,310,16935,821,1607.046895,1343,
K202507,3,K202507_003,Gross Rent,Renter-occupied housing units,Less than $500,K202507_003E,string,0,196639,821,1160.820659,439,K202507_003M,32,8787,821,464.9448669,351,
K202507,4,K202507_004,Gross Rent,Renter-occupied housing units,$500 to $999,K202507_004E,string,0,246691,821,3675.590621,1457,K202507_004M,52,10377,821,855.7896071,700,
K202507,5,K202507_005,Gross Rent,Renter-occupied housing units,"$1,000 to $1,999",K202507_005E,string,0,988291,821,8969.830165,3695.5,K202507_005M,115,15324,821,1293.626109,1060,
K202507,6,K202507_006,Gross Rent,Renter-occupied housing units,"$2,000 or more",K202507_006E,string,0,777260,821,3849.990494,883,K202507_006M,33,13762,821,740.9683143,551,
K202507,7,K202507_007,Gross Rent,Renter-occupied housing units,No cash rent,K202507_007E,string,0,62156,821,577.0158428,272.5,K202507_007M,30,4609,821,343.5665399,260,
K202508,1,K202508_001,Mortgage Status,Owner-occupied housing units,Total:,K202508_001E,string,511,1102002,2,16705.068,9363,K202508_001M,180,14298,2,1473.070505,1274,
K202508,2,K202508_002,Mortgage Status,Owner-occupied housing units,With a mortgage,K202508_002E,string,264,619055,2,10750.88527,5992,K202508_002M,197,12200,2,1309.515227,1131,
K202508,3,K202508_003,Mortgage Status,Owner-occupied housing units,Not mortgaged,K202508_003E,string,195,482947,2,5954.182728,3317,K202508_003M,139,10554,2,1036.902378,905,
K202509,1,K202509_001,Housing Value,Owner-occupied housing units,Total:,K202509_001E,string,2597,1102002,641,20099.70478,11276.5,K202509_001M,561,14298,641,1600.092719,1383,
K202509,2,K202509_002,Housing Value,Owner-occupied housing units,"Less than $50,000",K202509_002E,string,0,38973,641,845.0870307,434.5,K202509_002M,22,3749,641,400.71843,332,
K202509,3,K202509_003,Housing Value,Owner-occupied housing units,"$50,000 to $99,999",K202509_003E,string,0,42650,641,1050.51934,379,K202509_003M,24,4815,641,415.7161547,304,
K202509,4,K202509_004,Housing Value,Owner-occupied housing units,"$100,000 to $149,999",K202509_004E,string,0,36412,641,1329.647327,531,K202509_004M,40,4068,641,477.3788396,369,
K202509,5,K202509_005,Housing Value,Owner-occupied housing units,"$150,000 to $199,999",K202509_005E,string,0,56167,641,1764.812287,871,K202509_005M,48,5002,641,565.7127418,478,
K202509,6,K202509_006,Housing Value,Owner-occupied housing units,"$200,000 to $299,999",K202509_006E,string,0,129920,641,3550.634812,2026.5,K202509_006M,20,7067,641,817.1234357,723.5,
K202509,7,K202509_007,Housing Value,Owner-occupied housing units,"$300,000 to $499,999",K202509_007E,string,0,157614,641,5467.06314,2981,K202509_007M,41,7315,641,959.3646189,840,
K202509,8,K202509_008,Housing Value,Owner-occupied housing units,"$500,000 to $999,999",K202509_008E,string,0,515880,641,4575.507964,1216.5,K202509_008M,24,11806,641,733.6302617,548,
K202509,9,K202509_009,Housing Value,Owner-occupied housing units,"$1,000,000 or more",K202509_009E,string,0,288975,641,1516.432878,113,K202509_009M,16,10193,641,357.4158134,219,
K202510,1,K202510_001,Median Value (Dollars),Owner-occupied housing units,Median value (dollars),K202510_001E,string,-666666666,2000001,0,-126022.8479,354400,K202510_001M,-333333333,473014,0,-2931548.762,24774,
K202511,1,K202511_001,Median Gross Rent (Dollars),Renter-occupied housing units paying cash rent,Median gross rent,K202511_001E,string,-666666666,3501,8,-1950285.808,1413,K202511_001M,-333333333,2561,8,-2044515.65,133,
K202601,1,K202601_001,Group Quarters Population,Population in group quarters,Total:,K202601_001E,string,2,205333,84,1987.528726,545,K202601_001M,-555555555,3753,84,-239869.8285,37,
K202701,1,K202701_001,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,Total:,K202701_001E,string,14069,8282640,9,75412.10418,37440.5,K202701_001M,1,15993,9,1811.086192,523.5,
K202701,2,K202701_002,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,Under 19 years:,K202701_002E,string,177,1766882,9,17637.66527,9007.5,K202701_002M,157,13868,9,2080.630126,1857,
K202701,3,K202701_003,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,With health insurance coverage,K202701_003E,string,177,1728448,9,16734.09331,8635.5,K202701_003M,171,14508,9,2093.906276,1854,
K202701,4,K202701_004,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,No health insurance coverage,K202701_004E,string,0,88249,9,903.5719665,340,K202701_004M,2,8841,9,574.3807531,365,
K202701,5,K202701_005,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,19 to 64 years:,K202701_005E,string,3617,5155300,9,46258.1159,21989.5,K202701_005M,237,14084,9,2389.143096,2172,
K202701,6,K202701_006,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,With health insurance coverage,K202701_006E,string,3152,4730444,9,40840.50586,19731,K202701_006M,775,18738,9,2526.366109,2267.5,
K202701,7,K202701_007,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,No health insurance coverage,K202701_007E,string,0,452982,9,5417.610042,2269,K202701_007M,7,14558,9,1337.687448,1079,
K202701,8,K202701_008,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,65 years and over:,K202701_008E,string,415,1360458,9,11516.32301,6184.5,K202701_008M,2,11029,9,1513.40251,1352.5,
K202701,9,K202701_009,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,With health insurance coverage,K202701_009E,string,415,1340433,9,11391.41255,6087,K202701_009M,69,10886,9,1508.610879,1346,
K202701,10,K202701_010,Age by Health Insurance Coverage Status,Civilian noninstitutionalized population,No health insurance coverage,K202701_010E,string,0,20025,9,124.9104603,0,K202701_010M,2,2835,9,226.0698745,214,
K202702,1,K202702_001,Private Health Insurance Status,Civilian noninstitutionalized population,Total:,K202702_001E,string,10307,8282640,0,75232.49854,37294,K202702_001M,1,15993,0,1818.135056,533,
K202702,2,K202702_002,Private Health Insurance Status,Civilian noninstitutionalized population,With private health insurance,K202702_002E,string,2861,4774034,0,49351.59566,25749,K202702_002M,704,40359,0,3491.645686,3067,
K202702,3,K202702_003,Private Health Insurance Status,Civilian noninstitutionalized population,No private health insurance,K202702_003E,string,561,3508606,0,25880.90288,11707,K202702_003M,425,40515,0,3163.468945,2677,
K202703,1,K202703_001,Public Health Insurance Status,Civilian noninstitutionalized population,Total:,K202703_001E,string,10307,8282640,0,75232.49854,37294,K202703_001M,1,15993,0,1818.135056,533,
K202703,2,K202703_002,Public Health Insurance Status,Civilian noninstitutionalized population,With public coverage,K202703_002E,string,562,3923460,0,27569.00875,13288,K202703_002M,491,40519,0,2990.83118,2533,
K202703,3,K202703_003,Public Health Insurance Status,Civilian noninstitutionalized population,No public coverage,K202703_003E,string,2529,4359180,0,47663.48979,23932,K202703_003M,717,40429,0,3400.350563,3016,
K202801,1,K202801_001,Presence of a Computer and Type of Internet Subscription in Household,Households,Total:,K202801_001E,string,4023,3373039,610,36266.73113,17892,K202801_001M,606,12815,610,1654.970375,1446,
K202801,2,K202801_002,Presence of a Computer and Type of Internet Subscription in Household,Households,Has a computer:,K202801_002E,string,1840,3194617,610,34851.26216,17202,K202801_002M,557,13924,610,1657.797652,1432,
K202801,3,K202801_003,Presence of a Computer and Type of Internet Subscription in Household,Households,With dial-up Internet subscription alone,K202801_003E,string,0,3481,610,32.40413639,0,K202801_003M,10,1354,610,193.3275573,214,
K202801,4,K202801_004,Presence of a Computer and Type of Internet Subscription in Household,Households,With a broadband Internet subscription,K202801_004E,string,1064,2979426,610,32831.23756,16225,K202801_004M,542,16043,610,1680.548351,1451,
K202801,5,K202801_005,Presence of a Computer and Type of Internet Subscription in Household,Households,Without an Internet subscription,K202801_005E,string,79,211710,610,1987.620458,889,K202801_005M,89,9857,610,672.3750699,545,
K202801,6,K202801_006,Presence of a Computer and Type of Internet Subscription in Household,Households,No computer,K202801_006E,string,54,178422,610,1415.468977,653,K202801_006M,64,8293,610,539.1050866,438,
K209801,1,K209801_001,Unweighted Housing Unit Sample,Housing units,Initial addresses selected,K209801_001E,string,42,77510,0,670.123,310,,,,,,,
K209801,2,K209801_002,Unweighted Housing Unit Sample,Housing units,Final number of housing unit interviews,K209801_002E,string,1,35290,0,366.2143,185,,,,,,,
K209803,1,K209803_001,Unweighted Total Population Sample,Total population,Final interviews (actual and synthetic),K209803_001E,string,25,86617,0,894.5877,467,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
